Cell Line Name,Disease Site,Sex,Age,Derived From Site,"European, South",Native American,African,"East Asian, North","European, North","East Asian, South",South Asian
LXF 289,Lung adenocarcinoma,Male,62Y,Lung,30.93,0.0,0.0,2.04,66.88,0.0,0.14
M-07e,Childhood acute megakaryoblastic leukemia,Female,6M,Peripheral blood,41.63,0.0,8.96,0.92,45.47,0.0,3.01
M059J,Glioblastoma,Male,33Y,Brain,28.55,0.0,1.01,2.75,67.68,0.0,0.0
M059K,Glioblastoma,Male,33Y,Brain,28.16,0.0,0.16,2.3,69.38,0.0,0.0
M14,Amelanotic melanoma,Male,33Y,"Right buttock, hypodermis",30.39,0.0,0.64,0.0,67.89,1.08,0.0
Malme-3M,Melanoma,Male,43Y,Lung,31.17,0.0,0.63,1.38,66.47,0.0,0.35
MC-1010,Adult acute myeloid leukemia,Male,Unknown,Unknown,35.76,0.93,0.31,2.01,60.99,0.0,0.0
MC/CAR,Unknown,Male,81Y,Peripheral blood,32.76,0.0,0.32,0.0,66.92,0.0,0.0
MC116,B-cell non-Hodgkin lymphoma,Male,Age unspecified,Pleural effusion,30.78,0.0,0.0,1.22,64.91,0.0,3.09
MCAS,Ovarian mucinous cystadenocarcinoma,Female,60Y,Ovary,0.0,0.0,0.0,78.1,0.0,21.89,0.0
MCC13,Merkel cell carcinoma,Female,80Y,Cervical lymph node,31.08,0.0,0.0,0.0,64.74,1.16,3.02
MCC26,Merkel cell carcinoma,Female,82Y,Unknown,30.75,0.82,0.0,1.72,66.7,0.0,0.0
MCF-7,Invasive breast carcinoma of no special type,Female,69Y,Pleural effusion,38.15,0.0,0.74,4.2,56.91,0.0,0.0
MDA-MB-134-VI,Invasive breast lobular carcinoma,Female,47Y,Pleural effusion,29.06,0.0,2.96,3.67,64.3,0.0,0.0
MDA-MB-157,Breast carcinoma,Female,44Y,Pleural effusion,16.09,0.0,77.9,4.71,1.3,0.0,0.0
MDA-MB-175-VII,Invasive breast carcinoma of no special type,Female,56Y,Pleural effusion,10.73,0.0,83.61,5.65,0.0,0.0,0.0
MDA-MB-231,Breast adenocarcinoma,Female,51Y,Pleural effusion,60.03,0.0,1.95,2.44,28.16,0.0,7.42
MDA-MB-330,Invasive breast lobular carcinoma,Female,43Y,Pleural effusion,29.63,0.0,0.4,2.68,67.3,0.0,0.0
MDA-MB-361,Breast adenocarcinoma,Female,40Y,Brain,36.11,0.71,0.0,0.0,62.27,0.0,0.9
MDA-MB-415,Breast adenocarcinoma,Female,38Y,Pleural effusion,42.03,12.27,1.43,1.2,40.99,1.74,0.34
MDA-MB-435S,Amelanotic melanoma,Male,33Y,"Right buttock, hypodermis",32.63,0.0,0.01,2.13,65.23,0.0,0.0
MDA-MB-436,Invasive breast carcinoma of no special type,Female,43Y,Pleural effusion,32.49,0.0,1.41,2.21,63.9,0.0,0.0
MDA-MB-453,Breast adenocarcinoma,Female,48Y,Pericardial effusion,34.13,0.0,0.0,2.43,63.01,0.0,0.43
MDA-MB-468,Breast adenocarcinoma,Female,51Y,Pleural effusion,13.51,0.0,80.3,6.19,0.0,0.0,0.0
MDA-PCa-2b,Prostate carcinoma,Male,63Y,Bone,7.34,0.0,90.02,2.64,0.0,0.0,0.0
MDST8,Colon carcinoma,Unknown,Unknown,Colon,31.91,0.98,0.18,1.64,63.72,0.0,1.57
ME-1 [Human leukemia],Adult acute myeloid leukemia,Male,40Y,Peripheral blood,0.0,0.61,0.67,75.25,0.0,23.47,0.0
ME-180,Human papillomavirus-related cervical squamous cell carcinoma,Female,66Y,Omentum,32.53,0.16,1.51,1.49,64.3,0.0,0.0
MEC-1,Chronic lymphocytic leukemia,Male,61Y,Peripheral blood,64.15,0.0,1.9,2.04,26.14,0.0,5.76
MEC-2,Chronic lymphocytic leukemia,Male,61Y,Peripheral blood,65.6,0.0,1.35,2.58,25.37,0.0,5.1
MEG-01,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",Male,55Y,Bone marrow,2.33,0.0,1.14,79.13,0.0,17.4,0.0
Mel Ho,Melanoma,Female,Unknown,Skin,34.59,0.0,0.0,1.05,64.35,0.0,0.0
Mel JuSo,Cutaneous melanoma,Female,58Y,Skin,35.59,0.0,0.0,0.0,63.28,1.12,0.0
MES-SA,Uterine corpus sarcoma,Female,56Y,Uterus,43.94,0.0,1.13,1.61,50.63,0.25,2.44
MeWo,Cutaneous melanoma,Male,78Y,Lymph node,61.86,1.31,2.39,0.6,25.84,0.77,7.24
MFE-280,Endometrial adenocarcinoma,Female,77Y,Endometrium,37.62,0.41,1.51,4.71,55.75,0.0,0.0
MFE-296,Endometrial adenocarcinoma,Female,68Y,Endometrium,27.84,0.0,0.0,0.0,71.44,0.0,0.72
MFE-319,Endometrial adenosquamous carcinoma,Female,81Y,Endometrium,31.06,0.0,0.0,0.0,66.31,0.0,2.63
MFH-ino,Undifferentiated pleomorphic sarcoma,Female,45Y,Unknown,0.0,0.0,0.0,75.44,0.0,24.26,0.29
MFM-223,Breast carcinoma,Female,>45Y,Pleural effusion,38.73,0.0,0.51,3.43,55.91,0.0,1.41
MG-63,Osteosarcoma,Male,14Y,"Bone, left femur",65.26,0.69,3.1,2.05,23.83,0.0,5.07
MHH-CALL-2,Childhood B acute lymphoblastic leukemia,Female,15Y,Peripheral blood,22.68,0.0,1.65,2.18,73.49,0.0,0.0
MHH-CALL-3,Childhood B acute lymphoblastic leukemia,Female,11Y,Bone marrow,31.45,1.07,0.15,0.95,66.38,0.0,0.0
MHH-CALL-4,Childhood B acute lymphoblastic leukemia,Male,10Y,Peripheral blood,30.81,0.0,0.24,0.15,65.48,1.34,1.97
MHH-ES-1,Ewing sarcoma,Male,12Y,Ascites,41.22,0.83,1.53,4.32,41.94,3.68,6.47
MHH-NB-11,Neuroblastoma,Male,4Y,Adrenal gland,26.69,0.0,0.35,1.33,69.36,0.0,2.27
MHH-PREB-1,B-cell non-Hodgkin lymphoma,Male,7Y,Lymph node,59.05,0.19,1.87,2.12,34.51,0.44,1.83
MIA PaCa-2,Pancreatic ductal adenocarcinoma,Male,65Y,Pancreas,63.79,0.0,1.15,3.82,22.54,0.0,8.7
Mino,Mantle cell lymphoma,Male,68Y,Peripheral blood,51.98,0.0,0.85,1.5,39.56,0.0,6.1
MJ,Primary cutaneous T-cell non-Hodgkin lymphoma,Male,50Y,Peripheral blood,28.85,0.0,0.0,0.0,70.84,0.31,0.0
MKN1,Gastric adenosquamous carcinoma,Male,72Y,Lymph node,2.44,0.0,0.31,81.4,0.44,15.4,0.0
MKN28,Gastric tubular adenocarcinoma,Male,37Y,Liver,0.0,0.0,0.0,83.28,0.0,16.71,0.0
MKN45,Gastric adenocarcinoma,Female,62Y,Liver,3.67,0.0,1.54,85.37,0.0,9.42,0.0
MKN7,Gastric tubular adenocarcinoma,Male,39Y,Lymph node,0.49,0.09,0.0,81.05,0.0,18.37,0.0
MKN74,Gastric tubular adenocarcinoma,Male,37Y,Liver,1.29,0.0,0.0,88.48,0.0,9.79,0.44
ML-1 [Human thyroid carcinoma],Thyroid gland follicular carcinoma,Female,50Y,Thyroid gland,38.3,0.68,0.17,3.84,57.01,0.0,0.0
ML-2,Adult acute myeloid leukemia,Male,26Y,Peripheral blood,29.2,0.0,0.0,0.0,70.54,0.0,0.26
MLMA,Hairy cell leukemia,Female,32Y,Peritoneal effusion,0.0,0.54,0.0,77.94,0.0,21.52,0.0
MM1.S,Plasma cell myeloma,Female,45Y,Peripheral blood,6.87,0.0,88.68,4.01,0.0,0.0,0.43
MMAc-SF,Melanoma,Female,39Y,Ascites,0.25,0.05,0.62,77.21,0.0,20.11,1.76
MN-60,Burkitt lymphoma,Male,20Y,Peripheral blood,16.53,0.16,0.18,2.87,78.96,0.48,0.82
Mo,Hairy cell leukemia,Male,33Y,Spleen,29.24,0.37,0.0,0.0,68.22,1.84,0.34
MOG-G-CCM,Anaplastic astrocytoma,Sex unspecified,Age unspecified,Brain,29.68,0.0,0.19,0.2,69.93,0.0,0.0
MOG-G-UVW,Anaplastic astrocytoma,Male,Age unspecified,Brain,37.14,0.0,1.89,2.75,58.22,0.0,0.0
MOLM-13,Adult acute myeloid leukemia,Male,20Y,Peripheral blood,0.0,1.24,0.0,76.64,0.0,22.12,0.0
MOLM-16,Adult acute myeloid leukemia,Female,77Y,Peripheral blood,3.54,0.0,2.33,81.24,0.0,12.89,0.0
MOLM-6,"Chronic myelogenous leukemia, BCR-ABL1 positive",Male,44Y,Peripheral blood,0.0,0.75,0.0,75.67,0.0,23.58,0.0
MOLP-2,Plasma cell myeloma,Male,55Y,Peripheral blood,5.11,1.1,3.42,76.4,0.0,13.96,0.0
MOLP-8,Plasma cell myeloma,Male,52Y,Peripheral blood,0.0,0.26,0.0,74.81,0.46,24.35,0.12
MOLT-13,Childhood T acute lymphoblastic leukemia,Female,2Y,Bone marrow,40.12,0.55,0.68,0.0,54.27,0.0,4.38
MOLT-16,Childhood T acute lymphoblastic leukemia,Female,5Y,Peripheral blood,8.47,0.82,79.1,2.03,7.73,0.0,1.85
MOLT-3,Adult T acute lymphoblastic leukemia,Male,19Y,Peripheral blood,30.32,0.0,0.91,2.31,66.02,0.0,0.44
MOLT-4,Adult T acute lymphoblastic leukemia,Male,19Y,Peripheral blood,28.87,0.0,0.38,1.74,68.08,0.0,0.94
Mono-Mac-1,Adult acute monocytic leukemia,Male,64Y,Peripheral blood,40.63,0.46,1.61,2.85,54.45,0.0,0.0
Mono-Mac-6,Adult acute monocytic leukemia,Male,64Y,Peripheral blood,39.32,1.11,2.82,2.05,54.71,0.0,0.0
MOR/CPR,Lung adenocarcinoma,Sex unspecified,Age unspecified,Lung,32.53,0.0,1.26,4.44,61.77,0.0,0.0
MOTN-1,T-cell large granular lymphocyte leukemia,Female,65Y,Peripheral blood,0.64,0.4,0.84,73.72,0.0,24.39,0.0
MPP 89,Pleural epithelioid mesothelioma,Male,67Y,Pleural effusion,54.38,0.0,5.06,6.98,33.57,0.0,0.0
MRK-nu-1,Breast carcinoma,Female,46Y,Pleural effusion,0.74,1.19,0.98,73.82,0.07,23.21,0.0
MS-1 [Human lung carcinoma],Lung small cell carcinoma,Male,54Y,Pleural effusion,7.23,0.17,9.93,64.82,5.2,12.65,0.0
MS751,Human papillomavirus-related cervical squamous cell carcinoma,Female,47Y,Lymph node,31.66,0.44,0.0,0.0,67.07,0.42,0.41
MSTO-211H,Pleural biphasic mesothelioma,Male,62Y,Pleural effusion,33.49,0.17,0.0,1.28,62.92,0.0,2.13
MUTZ-5,B acute lymphoblastic leukemia,Male,26Y,Peripheral blood,55.18,0.51,16.18,0.0,13.74,2.27,12.13
MV4-11,Childhood acute monocytic leukemia,Male,10Y,Peripheral blood,28.91,0.0,0.59,0.34,67.58,0.0,2.57
MY-M12,Acute biphenotypic leukemia,Female,52Y,Bone marrow,0.0,0.38,0.94,81.47,0.0,16.04,1.17
MZ-MEL-2,Melanoma,Sex unspecified,Age unspecified,Abdomen,33.8,0.15,0.0,0.41,64.57,0.66,0.41
MZ-MEL-7,Melanoma,Female,25-26Y,Spleen,30.35,0.24,0.42,1.19,67.07,0.69,0.03
MZ-PC-1,Pancreatic ductal adenocarcinoma,Male,46Y,Pleural effusion,32.2,0.0,0.66,2.92,62.36,0.0,1.85
NALM-1,"Childhood chronic myelogenous leukemia, BCR-ABL1 positive",Female,3Y,Peripheral blood,9.12,6.08,77.03,2.94,4.83,0.0,0.0
NALM-19,B acute lymphoblastic leukemia,Male,26Y,Peripheral blood,3.83,0.1,1.76,79.97,0.0,14.34,0.01
NALM-6,Adult B acute lymphoblastic leukemia,Male,19Y,Peripheral blood,22.21,0.55,0.12,0.0,75.01,2.1,0.0
Namalwa,EBV-related Burkitt lymphoma,Female,Children,Unknown,3.91,0.0,94.65,1.43,0.0,0.0,0.0
NB(TU)1,Neuroblastoma,Female,1Y8M,Unknown,0.0,0.24,0.86,77.99,0.0,19.62,1.28
NB1,Neuroblastoma,Male,2Y3M,Cervical lymph node,3.8,0.21,2.29,80.53,0.0,13.17,0.0
NB4,Acute promyelocytic leukemia with PML-RARA,Female,23Y,Bone marrow,41.98,0.0,3.99,4.75,49.28,0.0,0.0
NB69,Neuroblastoma,Male,1Y4M,Unknown,34.0,0.26,0.0,0.67,64.54,0.0,0.54
NBsusSR,Neuroblastoma,Male,18Y,Unknown,0.68,0.0,1.34,75.7,0.87,20.79,0.62
NCC-IT,Testicular embryonal carcinoma,Male,24Y,Unknown,0.0,0.0,0.0,81.79,0.0,18.2,0.0
NCC-StC-K140,Gastric carcinoma,Female,36Y,Stomach,4.29,0.0,1.19,80.7,0.0,13.81,0.0
NCC010,Renal cell carcinoma,Male,Age unspecified,Unknown,0.0,0.0,0.0,22.3,0.0,77.7,0.0
NCC021,Renal cell carcinoma,Sex unspecified,Age unspecified,Unknown,0.12,0.02,0.31,27.12,0.0,71.39,1.05
NCI-H1048,Lung small cell carcinoma,Female,53Y,Pleural effusion,21.04,0.0,69.86,6.8,2.3,0.0,0.0
NCI-H1092,Lung small cell carcinoma,Male,67Y,Bone marrow,39.59,0.0,1.87,4.65,53.89,0.0,0.0
NCI-H1105,Lung small cell carcinoma,Male,73Y,Lymph node,34.95,0.0,1.28,1.06,62.71,0.0,0.0
NCI-H1155,Lung large cell carcinoma,Male,36Y,Lymph node,34.42,1.0,1.09,2.22,60.47,0.0,0.79
NCI-H1184,Lung small cell carcinoma,Male,42Y,Lymph node,31.77,0.52,0.45,0.92,65.61,0.0,0.72
NCI-H128,Lung small cell carcinoma,Male,60Y,Pleural effusion,10.46,0.0,69.81,2.05,17.44,0.0,0.25
NCI-H1299,Lung large cell carcinoma,Male,43Y,Lymph node,34.68,0.0,0.33,2.13,62.86,0.0,0.0
NCI-H1304,Lung small cell carcinoma,Female,Unknown,Unknown,24.05,0.31,1.09,1.44,72.97,0.13,0.0
NCI-H1339,Lung small cell carcinoma,Female,49Y,Pleural effusion,12.01,1.01,70.93,4.29,11.76,0.0,0.0
NCI-H1341,Cervical small cell neuroendocrine carcinoma,Female,26Y,"Uterus, cervix",25.77,0.96,0.0,2.27,70.16,0.0,0.84
NCI-H1355,Lung adenocarcinoma,Male,53Y,Pleural effusion,49.01,0.0,1.64,2.95,41.22,0.42,4.77
NCI-H1373,Lung adenocarcinoma,Male,56Y,Lung,11.46,1.21,71.79,4.32,11.21,0.0,0.0
NCI-H1385,Lung squamous cell carcinoma,Female,49Y,Lymph node,16.46,0.0,69.29,3.93,10.32,0.0,0.0
NCI-H1395,Lung adenocarcinoma,Female,55Y,Lung,37.38,0.0,3.03,6.76,52.83,0.0,0.0
NCI-H1417,Lung small cell carcinoma,Female,61Y,Lung,26.71,0.0,0.09,1.05,67.94,0.15,4.06
NCI-H1435,Lung adenocarcinoma,Female,35Y,Lung,31.67,15.63,2.26,9.39,41.04,0.0,0.0
NCI-H1436,Lung small cell carcinoma,Male,39Y,Lymph node,27.63,0.28,0.29,3.22,67.17,0.0,1.4
NCI-H1437,Lung adenocarcinoma,Male,60Y,Pleural effusion,28.43,1.16,0.0,1.67,68.74,0.0,0.0
NCI-H146,Lung small cell carcinoma,Male,59Y,Bone marrow,30.99,0.0,0.37,2.05,66.14,0.0,0.45
NCI-H1563,Lung adenocarcinoma,Male,Age unspecified,Lung,61.99,0.0,0.33,0.56,24.17,2.48,10.47
NCI-H1568,Lung adenocarcinoma,Female,48Y,Lymph node,38.41,0.0,0.1,2.23,56.39,0.0,2.88
NCI-H1573,Lung adenocarcinoma,Female,35Y,Lung,38.22,0.0,1.85,5.57,54.36,0.0,0.0
NCI-H1581,Lung large cell carcinoma,Male,44Y,Lung,37.76,0.0,0.94,1.51,59.07,0.0,0.71
NCI-H1618,Lung small cell carcinoma,Female,55Y,Bone marrow,34.4,0.54,0.23,0.24,61.08,0.0,3.51
NCI-H1623,Lung adenocarcinoma,Male,58Y,Lymph node,35.4,0.03,1.52,2.83,60.22,0.0,0.0
NCI-H1648,Lung adenocarcinoma,Male,39Y,Lymph node,11.82,0.0,69.05,4.46,14.67,0.0,0.0
NCI-H1650,Minimally invasive lung adenocarcinoma,Male,27Y,Pleural effusion,34.34,0.0,0.57,3.27,61.83,0.0,0.0
NCI-H1651,Lung adenocarcinoma,Male,71Y,Lung,29.37,0.0,1.5,2.72,66.41,0.0,0.0
NCI-H1666,Minimally invasive lung adenocarcinoma,Female,50Y,Pleural effusion,32.47,0.0,1.25,1.76,63.0,0.0,1.52
NCI-H1688,Lung small cell carcinoma,Male,50Y,Liver,35.0,0.0,0.98,2.19,61.82,0.0,0.0
NCI-H1693,Lung adenocarcinoma,Female,55Y,Lymph node,31.2,0.67,0.99,3.46,63.68,0.0,0.0
NCI-H1694,Lung small cell carcinoma,Male,61Y,Ascites,62.14,1.28,4.95,5.88,23.45,0.17,2.13
NCI-H1703,Lung squamous cell carcinoma,Male,54Y,Lung,43.93,0.0,3.29,5.58,47.2,0.0,0.0
NCI-H1734,Lung adenocarcinoma,Female,56Y,Lung,30.13,0.78,0.0,1.29,67.8,0.0,0.0
NCI-H1755,Lung adenocarcinoma,Female,65Y,Liver,34.66,0.15,0.64,2.9,61.65,0.0,0.0
NCI-H1770,Lung non-small cell carcinoma,Male,57Y,Lymph node,33.09,0.35,2.3,4.49,59.77,0.0,0.0
NCI-H1781,Minimally invasive lung adenocarcinoma,Female,66Y,Pleural effusion,32.22,0.0,0.0,1.69,65.63,0.0,0.46
NCI-H1792,Lung adenocarcinoma,Male,50Y,Pleural effusion,34.89,0.75,2.29,2.43,59.22,0.0,0.41
NCI-H1793,Lung adenocarcinoma,Female,52Y,Lung,53.57,0.91,0.24,1.4,36.54,0.39,6.96
NCI-H1836,Lung small cell carcinoma,Male,52Y,Lung,27.28,0.84,0.0,0.99,70.01,0.0,0.88
NCI-H1838,Lung adenocarcinoma,Female,Age unspecified,Lung,36.13,0.0,2.12,3.65,58.09,0.0,0.0
NCI-H1869,Lung squamous cell carcinoma,Male,58Y,Lung,33.45,0.0,0.87,2.87,62.8,0.0,0.0
NCI-H187,Lung small cell carcinoma,Male,47Y,Pleural effusion,33.62,0.51,0.56,0.71,64.51,0.08,0.0
NCI-H1876,Lung small cell carcinoma,Male,59Y,Lymph node,26.6,0.51,0.78,1.19,70.91,0.0,0.0
NCI-H1915,Lung non-small cell carcinoma,Female,61Y,Lung,62.34,0.18,3.05,4.07,23.9,0.0,6.45
NCI-H1930,Lung small cell carcinoma,Male,41Y,Lymph node,37.69,0.0,2.23,3.79,56.29,0.0,0.0
NCI-H1944,Lung adenocarcinoma,Female,62Y,Lung,33.73,0.24,0.85,2.96,61.33,0.0,0.89
NCI-H196,Lung sarcomatoid carcinoma,Male,68Y,Pleural effusion,43.59,0.1,0.0,0.0,50.92,1.64,3.75
NCI-H1963,Lung small cell carcinoma,Male,56Y,Lung,17.68,0.5,56.07,4.15,21.6,0.0,0.0
NCI-H1975,Lung adenocarcinoma,Female,Age unspecified,Lung,60.85,0.0,0.35,1.32,30.01,0.0,7.46
NCI-H1993,Lung adenocarcinoma,Female,47Y,Lymph node,29.05,0.66,1.07,0.47,67.35,1.32,0.09
NCI-H2009,Lung adenocarcinoma,Female,68Y,Lymph node,38.19,0.0,5.66,7.51,48.63,0.0,0.0
NCI-H2023,Lung adenocarcinoma,Male,26Y,Lung,32.18,0.48,0.0,0.88,66.45,0.0,0.0
NCI-H2029,Lung small cell carcinoma,Female,69Y,Lymph node,38.55,0.0,4.84,5.65,50.95,0.0,0.0
NCI-H2030,Lung adenocarcinoma,Male,Age unspecified,Lymph node,32.52,0.0,0.43,0.0,64.18,0.0,2.87
NCI-H2052,Pleural sarcomatoid mesothelioma,Male,65Y,Pleural effusion,32.79,0.0,0.17,2.33,64.49,0.0,0.22
NCI-H2066,Lung squamous cell carcinoma,Female,70Y,Lung,34.61,0.0,3.0,2.95,59.43,0.0,0.0
NCI-H2073,Lung adenocarcinoma,Female,47Y,Lung,32.48,0.0,1.14,2.07,64.31,0.0,0.0
NCI-H2081,Lung small cell carcinoma,Female,59Y,Pleural effusion,43.27,0.0,2.93,6.2,47.59,0.0,0.0
NCI-H2085,Lung adenocarcinoma,Male,45Y,Lung,34.93,0.0,0.71,2.54,61.81,0.0,0.0
NCI-H2087,Lung adenocarcinoma,Male,69Y,Lymph node,29.44,0.0,0.0,3.19,67.37,0.0,0.0
NCI-H209,Lung small cell carcinoma,Male,55Y,Bone marrow,31.02,0.0,1.88,1.08,65.94,0.0,0.08
NCI-H2106,Lung large cell carcinoma,Male,58Y,Lymph node,32.31,1.71,0.0,1.71,64.26,0.0,0.0
NCI-H211,Lung small cell carcinoma,Female,50Y,Bone marrow,39.33,0.0,3.08,5.72,51.87,0.0,0.0
NCI-H2110,Lung non-small cell carcinoma,Sex unspecified,Age unspecified,Pleural effusion,12.13,0.0,82.92,4.2,0.75,0.0,0.0
NCI-H2122,Lung adenocarcinoma,Female,46Y,Pleural effusion,31.01,0.26,0.0,1.42,65.92,0.0,1.39
NCI-H2126,Lung large cell carcinoma,Male,65Y,Pleural effusion,35.45,0.65,1.91,3.65,58.35,0.0,0.0
NCI-H2135,Lung non-small cell carcinoma,Sex unspecified,Age unspecified,Unknown,58.84,0.0,5.4,0.0,21.96,1.13,12.67
NCI-H2141,Lung small cell carcinoma,Male,58Y,Lymph node,30.38,0.27,1.17,1.08,65.94,0.0,1.16
NCI-H2170,Lung squamous cell carcinoma,Male,Age unspecified,Unknown,28.61,0.0,0.09,0.85,69.01,0.49,0.94
NCI-H2171,Lung small cell carcinoma,Male,50Y,Pleural effusion,35.63,0.0,3.06,4.89,56.36,0.05,0.0
NCI-H2172,Lung non-small cell carcinoma,Female,Age unspecified,Lung,9.75,0.46,81.79,2.23,5.77,0.0,0.0
NCI-H2196,Lung small cell carcinoma,Male,67Y,Bone marrow,28.81,0.0,2.17,2.28,66.73,0.0,0.0
NCI-H2227,Lung small cell carcinoma,Male,54Y,Lung,31.37,0.0,0.0,1.89,65.68,0.0,1.06
NCI-H2228,Lung adenocarcinoma,Female,Age unspecified,Lung,33.09,0.08,0.1,0.5,65.31,0.06,0.85
NCI-H226,Pleural epithelioid mesothelioma,Male,Age unspecified,Pleural effusion,31.86,0.0,0.0,0.16,65.62,0.88,1.48
NCI-H2286,Lung adenocarcinoma,Female,57Y,Lung,32.33,0.0,2.79,4.22,60.65,0.0,0.0
NCI-H2291,Lung adenocarcinoma,Male,Age unspecified,Lymph node,39.15,0.0,1.1,3.67,54.53,0.0,1.55
NCI-H23,Lung adenocarcinoma,Male,51Y,Lung,16.3,2.12,67.86,2.83,10.88,0.0,0.0
NCI-H2342,Lung adenocarcinoma,Male,55Y,Lung,36.81,0.0,0.24,4.52,58.43,0.0,0.0
NCI-H2347,Lung adenocarcinoma,Female,54Y,Lung,35.9,0.0,0.0,0.74,62.76,0.0,0.59
NCI-H2369,Pleural malignant mesothelioma,Male,Age unspecified,Unknown,30.22,0.0,0.75,0.77,67.35,0.91,0.0
NCI-H2373,Pleural sarcomatoid mesothelioma,Male,Adult,"Lung, pleura",29.5,0.0,0.63,0.0,66.33,0.91,2.63
NCI-H2405,Lung adenocarcinoma,Male,47Y,Lung,34.69,0.0,3.18,2.88,58.28,0.0,0.97
NCI-H2444,Lung non-small cell carcinoma,Male,Age unspecified,Lung,35.85,1.22,0.0,3.0,58.66,0.0,1.26
NCI-H2452,Pleural biphasic mesothelioma,Male,Adult,"Lung, pleura",34.76,0.0,0.27,1.66,63.32,0.0,0.0
NCI-H2461,Pleural epithelioid mesothelioma,Male,Adult,"Lung, pleura",33.37,0.07,0.92,1.1,63.28,1.25,0.0
NCI-H250,Lung small cell carcinoma,Male,34Y,Brain,7.7,0.09,91.03,1.17,0.0,0.0,0.0
NCI-H2591,Pleural epithelioid mesothelioma,Male,Adult,"Lung, pleura",29.11,0.0,0.0,0.0,68.64,0.61,1.63
NCI-H2595,Pleural epithelioid mesothelioma,Male,Adult,"Lung, pleura",31.93,0.21,0.03,0.0,64.92,0.22,2.69
NCI-H2722,Pleural malignant mesothelioma,Male,Unknown,Unknown,37.33,1.83,0.26,0.0,57.77,0.0,2.81
NCI-H2731,Pleural sarcomatoid mesothelioma,Male,Unknown,Unknown,30.53,0.84,0.0,1.33,65.41,0.0,1.88
NCI-H2795,Pleural epithelioid mesothelioma,Male,Unknown,Unknown,29.89,1.03,1.04,1.57,65.63,0.0,0.85
NCI-H28,Pleural malignant mesothelioma,Male,48Y,Pleural effusion,15.05,0.21,65.11,3.2,16.44,0.0,0.0
NCI-H2803,Pleural malignant mesothelioma,Unknown,Unknown,Unknown,15.28,0.46,59.04,1.75,22.93,0.0,0.55
NCI-H2804,Pleural malignant mesothelioma,Male,Age unspecified,Unknown,28.74,0.0,1.05,2.06,68.14,0.0,0.0
NCI-H2810,Pleural epithelioid mesothelioma,Male,Age unspecified,Unknown,60.38,0.47,2.41,2.44,28.37,0.76,5.17
NCI-H2818,Pleural epithelioid mesothelioma,Male,Age unspecified,Unknown,19.07,1.13,0.0,0.0,76.08,0.17,3.55
NCI-H2869,Pleural biphasic mesothelioma,Male,Age unspecified,Unknown,34.91,0.0,0.0,0.0,63.53,0.6,0.96
NCI-H290,Pleural malignant mesothelioma,Male,Age unspecified,Pleural effusion,29.45,0.64,0.1,0.0,66.44,0.75,2.62
NCI-H292,Lung mucoepidermoid carcinoma,Female,32Y,Lymph node,10.06,0.17,81.43,2.03,6.04,0.0,0.28
NCI-H3118,Parotid gland mucoepidermoid carcinoma,Female,Unknown,Unknown,34.08,0.01,0.85,2.51,59.54,0.0,3.02
NCI-H3122,Lung adenocarcinoma,Male,54Y,Pleural effusion,31.26,0.0,0.0,1.36,65.9,0.0,1.48
NCI-H322,Minimally invasive lung adenocarcinoma,Male,52Y,Lung,27.95,0.0,1.01,2.38,68.65,0.0,0.0
NCI-H322M,Minimally invasive lung adenocarcinoma,Male,52Y,Lung,25.2,0.0,0.44,0.73,72.75,0.88,0.0
NCI-H3255,Lung adenocarcinoma,Female,47Y,Pleural effusion,34.46,0.0,3.63,2.06,59.85,0.0,0.0
NCI-H345,Lung small cell carcinoma,Male,64Y,Bone marrow,61.17,0.71,1.67,2.16,25.58,1.53,7.19
NCI-H358,Minimally invasive lung adenocarcinoma,Male,Age unspecified,Lung,35.82,0.0,3.45,4.63,56.1,0.0,0.0
NCI-H378,Lung small cell carcinoma,Female,66Y,Pleural effusion,58.4,1.24,2.92,1.45,26.04,1.89,8.06
NCI-H441,Lung papillary adenocarcinoma,Male,33Y,Pericardial effusion,33.69,0.0,0.09,3.45,61.67,0.0,1.1
NCI-H446,Lung small cell carcinoma,Male,61Y,Pleural effusion,27.05,0.0,2.76,6.47,63.72,0.0,0.0
NCI-H460,Lung large cell carcinoma,Male,Age unspecified,Pleural effusion,32.24,0.0,0.0,1.96,65.65,0.0,0.15
NCI-H508,Cecum adenocarcinoma,Male,55Y,Abdominal wall,38.18,0.0,0.01,3.05,58.76,0.0,0.0
NCI-H510A,Lung small cell carcinoma,Male,53Y,Adrenal gland,33.11,0.3,0.05,2.01,64.53,0.0,0.0
NCI-H513,Lung adenosquamous carcinoma,Male,61Y,Hypodermis,5.9,0.0,83.85,2.18,5.9,0.0,2.16
NCI-H520,Lung squamous cell carcinoma,Male,Age unspecified,Lung,35.5,0.0,0.0,0.92,63.58,0.0,0.0
NCI-H522,Lung adenocarcinoma,Male,58Y,Lung,23.13,0.0,1.94,1.91,69.74,0.0,3.27
NCI-H524,Lung small cell carcinoma,Male,63Y,Lymph node,32.01,0.0,0.55,1.32,66.11,0.0,0.0
NCI-H526,Lung small cell carcinoma,Male,55Y,Bone marrow,33.49,0.0,0.0,1.13,63.44,0.0,1.94
